symbol,side,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_pct_gross,pnl_pct_net
BTC/USDT,SHORT,2026-02-07 08:00:00+00:00,67979.0,2026-02-09 04:00:00+00:00,70418.0,SIGNAL_FLIP,-3.588,-3.888
BTC/USDT,SHORT,2026-02-10 08:00:00+00:00,68547.0,2026-02-10 12:00:00+00:00,69296.0,SIGNAL_FLIP,-1.093,-1.393
BTC/USDT,SHORT,2026-02-11 12:00:00+00:00,66520.0,2026-02-11 16:00:00+00:00,67579.0,SIGNAL_FLIP,-1.592,-1.892
BTC/USDT,SHORT,2026-02-11 20:00:00+00:00,67081.0,2026-02-12 08:00:00+00:00,68133.0,SIGNAL_FLIP,-1.568,-1.868
BTC/USDT,SHORT,2026-02-12 12:00:00+00:00,67148.0,2026-02-13 16:00:00+00:00,68935.0,SIGNAL_FLIP,-2.661,-2.961
BTC/USDT,SHORT,2026-02-14 00:00:00+00:00,68967.0,2026-02-14 04:00:00+00:00,69214.0,SIGNAL_FLIP,-0.358,-0.658
BTC/USDT,SHORT,2026-02-17 00:00:00+00:00,68468.0,2026-02-20 00:00:00+00:00,67348.0,SIGNAL_FLIP,1.636,1.336
BTC/USDT,SHORT,2026-02-20 08:00:00+00:00,67310.0,2026-02-20 12:00:00+00:00,67574.0,SIGNAL_FLIP,-0.392,-0.692
BTC/USDT,SHORT,2026-02-23 12:00:00+00:00,65659.0,2026-02-25 12:00:00+00:00,67343.14285714286,STOP_LOSS,-2.565,-2.865
BTC/USDT,SHORT,2026-02-28 04:00:00+00:00,63837.0,2026-02-28 08:00:00+00:00,63829.0,SIGNAL_FLIP,0.013,-0.287
BTC/USDT,SHORT,2026-02-28 12:00:00+00:00,64834.0,2026-02-28 16:00:00+00:00,66355.0,SIGNAL_FLIP,-2.346,-2.646
BTC/USDT,SHORT,2026-03-01 04:00:00+00:00,67120.0,2026-03-02 00:00:00+00:00,66818.0,SIGNAL_FLIP,0.45,0.15
BTC/USDT,SHORT,2026-03-02 04:00:00+00:00,65985.0,2026-03-02 12:00:00+00:00,68802.28571428571,STOP_LOSS,-4.27,-4.57
BTC/USDT,SHORT,2026-03-07 20:00:00+00:00,67275.0,2026-03-09 12:00:00+00:00,68955.57142857143,STOP_LOSS,-2.498,-2.798
BTC/USDT,SHORT,2026-03-09 12:00:00+00:00,68894.0,2026-03-10 04:00:00+00:00,70377.0,SIGNAL_FLIP,-2.153,-2.453
BTC/USDT,SHORT,2026-03-14 00:00:00+00:00,71073.0,2026-03-14 20:00:00+00:00,71205.0,SIGNAL_FLIP,-0.186,-0.486
BTC/USDT,SHORT,2026-03-18 16:00:00+00:00,71059.0,2026-03-23 08:00:00+00:00,70096.0,SIGNAL_FLIP,1.355,1.055
BTC/USDT,SHORT,2026-03-23 12:00:00+00:00,70120.0,2026-03-29 20:00:00+00:00,65431.42857142857,TAKE_PROFIT,6.686,6.386
BTC/USDT,SHORT,2026-03-29 20:00:00+00:00,66024.0,2026-03-30 00:00:00+00:00,67345.85714285714,STOP_LOSS,-2.002,-2.302
BTC/USDT,SHORT,2026-03-30 00:00:00+00:00,67159.0,2026-03-30 20:00:00+00:00,66777.0,SIGNAL_FLIP,0.569,0.269
BTC/USDT,SHORT,2026-04-05 00:00:00+00:00,67136.0,2026-04-05 12:00:00+00:00,67283.0,SIGNAL_FLIP,-0.219,-0.519
BTC/USDT,SHORT,2026-04-12 12:00:00+00:00,70882.0,2026-04-13 12:00:00+00:00,72321.42857142857,STOP_LOSS,-2.031,-2.331
BTC/USDT,SHORT,2026-04-20 04:00:00+00:00,74802.0,2026-04-20 08:00:00+00:00,75172.0,SIGNAL_FLIP,-0.495,-0.795
BTC/USDT,SHORT,2026-04-21 00:00:00+00:00,75689.0,2026-04-21 20:00:00+00:00,76334.0,SIGNAL_FLIP,-0.852,-1.152
BTC/USDT,SHORT,2026-04-26 00:00:00+00:00,77403.0,2026-04-26 08:00:00+00:00,78093.0,SIGNAL_FLIP,-0.891,-1.191
BTC/USDT,SHORT,2026-04-28 12:00:00+00:00,76054.0,2026-04-28 16:00:00+00:00,76317.0,SIGNAL_FLIP,-0.346,-0.646
BTC/USDT,SHORT,2026-04-29 12:00:00+00:00,75900.0,2026-05-01 00:00:00+00:00,77103.0,SIGNAL_FLIP,-1.585,-1.885
BTC/USDT,LONG,2026-05-06 08:00:00+00:00,82503.0,2026-05-07 12:00:00+00:00,80494.0,STOP_LOSS,-2.435,-2.735
BTC/USDT,SHORT,2026-05-07 12:00:00+00:00,79900.0,2026-05-07 16:00:00+00:00,80110.0,SIGNAL_FLIP,-0.263,-0.563
BTC/USDT,LONG,2026-05-10 20:00:00+00:00,82162.0,2026-05-11 00:00:00+00:00,81184.42857142857,STOP_LOSS,-1.19,-1.49
BTC/USDT,SHORT,2026-05-14 00:00:00+00:00,79021.0,2026-05-14 12:00:00+00:00,80496.14285714286,STOP_LOSS,-1.867,-2.167
BTC/USDT,SHORT,2026-05-14 20:00:00+00:00,81081.0,2026-05-17 20:00:00+00:00,77598.71428571429,TAKE_PROFIT,4.295,3.995
BTC/USDT,SHORT,2026-05-17 20:00:00+00:00,77479.0,2026-05-18 08:00:00+00:00,77272.0,SIGNAL_FLIP,0.267,-0.033
BTC/USDT,SHORT,2026-05-18 12:00:00+00:00,76400.0,2026-05-19 00:00:00+00:00,76769.0,SIGNAL_FLIP,-0.483,-0.783
BTC/USDT,SHORT,2026-05-27 04:00:00+00:00,75967.0,2026-05-28 00:00:00+00:00,73260.14285714286,TAKE_PROFIT,3.563,3.263
BTC/USDT,SHORT,2026-05-28 00:00:00+00:00,73286.0,2026-05-31 00:00:00+00:00,74140.0,SIGNAL_FLIP,-1.165,-1.465
BTC/USDT,SHORT,2026-05-31 04:00:00+00:00,73863.0,2026-05-31 08:00:00+00:00,73946.0,SIGNAL_FLIP,-0.112,-0.412
BTC/USDT,SHORT,2026-06-01 04:00:00+00:00,72827.0,2026-06-01 16:00:00+00:00,71000.71428571429,TAKE_PROFIT,2.508,2.208
BTC/USDT,SHORT,2026-06-01 16:00:00+00:00,71589.0,2026-06-02 12:00:00+00:00,69093.85714285714,TAKE_PROFIT,3.485,3.185
BTC/USDT,SHORT,2026-06-02 12:00:00+00:00,67317.0,2026-06-04 00:00:00+00:00,63455.0,TAKE_PROFIT,5.737,5.437
BTC/USDT,SHORT,2026-06-04 00:00:00+00:00,64366.0,2026-06-07 08:00:00+00:00,62618.0,SIGNAL_FLIP,2.716,2.416
BTC/USDT,SHORT,2026-06-07 12:00:00+00:00,62076.0,2026-06-07 20:00:00+00:00,63303.0,SIGNAL_FLIP,-1.977,-2.277
BTC/USDT,SHORT,2026-06-08 00:00:00+00:00,63122.0,2026-06-08 12:00:00+00:00,63778.0,SIGNAL_FLIP,-1.039,-1.339
BTC/USDT,SHORT,2026-06-10 16:00:00+00:00,61932.0,2026-06-11 00:00:00+00:00,62681.0,SIGNAL_FLIP,-1.209,-1.509
BTC/USDT,SHORT,2026-06-18 08:00:00+00:00,63967.0,2026-06-20 20:00:00+00:00,64289.0,SIGNAL_FLIP,-0.503,-0.803
BTC/USDT,SHORT,2026-06-23 04:00:00+00:00,62885.0,2026-06-24 16:00:00+00:00,60081.0,TAKE_PROFIT,4.459,4.159
BTC/USDT,SHORT,2026-06-24 16:00:00+00:00,59980.0,2026-06-25 04:00:00+00:00,61902.71428571428,STOP_LOSS,-3.206,-3.506
BTC/USDT,SHORT,2026-06-25 04:00:00+00:00,61899.0,2026-06-26 12:00:00+00:00,60308.0,SIGNAL_FLIP,2.57,2.27
BTC/USDT,SHORT,2026-06-30 12:00:00+00:00,58379.0,2026-07-01 12:00:00+00:00,59962.71428571428,STOP_LOSS,-2.713,-3.013
BTC/USDT,SHORT,2026-07-01 12:00:00+00:00,60137.0,2026-07-02 12:00:00+00:00,61881.0,STOP_LOSS,-2.9,-3.2
BTC/USDT,SHORT,2026-07-13 12:00:00+00:00,62607.0,2026-07-13 16:00:00+00:00,62279.0,SIGNAL_FLIP,0.524,0.224
BTC/USDT,SHORT,2026-07-13 20:00:00+00:00,62310.0,2026-07-14 00:00:00+00:00,62556.0,SIGNAL_FLIP,-0.395,-0.695
